start,state,end
2021,"Hundreds of thousands of robots and collaborative ""co-bots"" already in operation in retail and manufacturing.  ",2025
2025,,2030
2030,Robots which can read emotions and converse will become our friends. ,2040
2040,"Home robots help elders with everyday tasks, predict when they need to use the toilet, detect falls & more.",2050
2050,800+ million global workers are replaced by robots. ,2060
