indicator,ISO Country code,Population (2018.0),Surface area (Km2) (2018.0),% of population in extreme poverty (latest year),% of population with access to electricity (2020.0),Happy planet index (2016.0),Happy planet index (2019),Human dev index (2017.0),Human dev index (2021),Unemployment (%) (2018.0),Unemployment (%) (2021.0),Economic Growth (2018.0),Economic Growth (2021 or latest)
Ethiopia,ETH,105000000.0,1000000.0,,51.0939826965332,26.7,41.7,0.463,0.498,5.7,3.69400000572205,6.81614779681703,5.63730300819225
Fiji,FJI,900000.0,18274.0,0.2,100.0,-,-,0.741,0.73,7.9,5.23899984359741,3.81235122208518,-4.08142494076485
Finland,FIN,6000000.0,303815.0,0.0,100.0,31.3,51.3,0.92,0.94,9.0,7.52500009536743,1.14194750876192,3.47454718099831
France,FRA,67000000.0,549970.0,0.0,100.0,30.4,51.8,0.901,0.903,10.0,8.0629997253418,1.86506607081999,6.96357078755028
Gabon,GAB,1900000.0,257667.0,,91.5715637207031,17.5,39.9,0.702,0.706,18.5,22.2649993896484,0.83791658082157,1.50535940089038
"Gambia, The",GMB,2100000.0,10120.0,,62.2730674743652,-,-,0.46,0.5,29.7,11.2119998931885,7.23489033258579,5.62649914313542
Georgia,GEO,3700000.0,69700.0,1.5,100.0,31.1,44.3,0.78,0.802,11.6,10.6590003967285,4.84291988506627,10.3589426548453
Germany,DEU,83000000.0,348672.0,0.0,100.0,29.8,52.7,0.936,0.942,4.3,3.53500008583069,1.08602451412267,2.89260243321934
Ghana,GHA,29000000.0,227533.0,,85.8735504150391,21.4,39.5,0.592,0.632,5.8,4.7039999961853,6.20007768127284,5.35647789699578
Greece,GRC,11000000.0,130647.0,0.4,100.0,23.6,48.8,0.87,0.887,23.9,14.7950000762939,1.66842863602514,8.33610201010661
Guatemala,GTM,17000000.0,107159.0,,97.0552673339844,34.2,57.9,0.65,0.627,2.4,3.57200002670288,3.32209799734959,7.52762877577686
Guinea,GIN,13000000.0,245717.0,3.1,44.6686782836914,-,38.1,0.459,0.465,6.8,6.34200000762939,6.35849192736715,3.12323000009609
Guinea-Bissau,GNB,1700000.0,28120.0,4.7,33.3354682922363,-,-,0.455,0.483,6.5,6.75899982452393,1.28373670309465,3.80000242656607
Guyana,GUY,800000.0,196849.0,,92.5405426025391,-,-,0.654,0.714,11.4,16.4249992370605,4.44101358934772,19.927228866
Haiti,HTI,11000000.0,27560.0,,46.9255332946777,28.6,38.2,0.498,0.535,13.2,15.7259998321533,1.66781095484656,-1.79823988931486
Honduras,HND,9000000.0,111890.0,4.3,93.2067108154297,27.2,57.7,0.617,0.621,6.3,8.51299953460693,3.84499476966735,12.5340960157739
Hungary,HUN,10000000.0,89608.0,0.1,100.0,26.4,45.4,0.838,0.846,5.2,4.11600017547607,5.35949648949985,7.09661223225682
